"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39003","Allen County, Ohio",2009,1.8,2.6,2.3,3.3
"39007","Ashtabula County, Ohio",2009,2.3,2.5,2.7,4.2
"39013","Belmont County, Ohio",2009,2.9,2.6,3.7,3.9
"39017","Butler County, Ohio",2009,1.2,1.2,1.5,1.7
"39023","Clark County, Ohio",2009,1.8,2.1,2.2,2.6
"39025","Clermont County, Ohio",2009,1.8,1.8,1.6,2
"39029","Columbiana County, Ohio",2009,2.2,2.3,2.5,3.1
"39035","Cuyahoga County, Ohio",2009,0.6,0.7,0.8,0.8
"39041","Delaware County, Ohio",2009,1.1,1.2,1,1.8
"39043","Erie County, Ohio",2009,2,2.4,2.8,3.5
"39045","Fairfield County, Ohio",2009,1.4,1.7,1.9,2.4
"39049","Franklin County, Ohio",2009,0.7,0.6,0.7,0.9
"39055","Geauga County, Ohio",2009,2.5,1.9,2.2,2.4
"39057","Greene County, Ohio",2009,1.1,1.6,1.7,2.4
"39061","Hamilton County, Ohio",2009,0.9,1,1,1
"39063","Hancock County, Ohio",2009,1.7,2.5,2,2.4
"39081","Jefferson County, Ohio",2009,3,2.9,3.2,3.8
"39085","Lake County, Ohio",2009,1.2,1.3,1.3,1.7
"39089","Licking County, Ohio",2009,1.6,1.6,2.4,2.3
"39093","Lorain County, Ohio",2009,1,1.5,1.7,1.8
"39095","Lucas County, Ohio",2009,1,1.4,1.4,1.6
"39099","Mahoning County, Ohio",2009,1.1,1.7,1.8,2
"39101","Marion County, Ohio",2009,2.4,2.8,3.3,3.3
"39103","Medina County, Ohio",2009,1.4,1.4,1.4,1.6
"39109","Miami County, Ohio",2009,2.5,1.7,2.4,2.8
"39113","Montgomery County, Ohio",2009,0.9,1.2,1,1.3
"39119","Muskingum County, Ohio",2009,2.1,3.1,3,3.2
"39133","Portage County, Ohio",2009,1.5,2.2,2,2
"39139","Richland County, Ohio",2009,1.9,2,2.4,2.5
"39141","Ross County, Ohio",2009,2.5,3.7,3.4,4.5
"39145","Scioto County, Ohio",2009,2.5,2.6,4.3,4.3
"39151","Stark County, Ohio",2009,1.2,1.2,1.2,1.7
"39153","Summit County, Ohio",2009,0.8,1,1.1,1.3
"39155","Trumbull County, Ohio",2009,1.5,1.6,1.6,2.3
"39157","Tuscarawas County, Ohio",2009,2.7,2.5,2.3,3.1
"39165","Warren County, Ohio",2009,1.2,1.5,1.3,1.6
"39169","Wayne County, Ohio",2009,1.7,1.7,2.3,2.6
"39173","Wood County, Ohio",2009,1.5,2.1,2.5,2.1
"39151","Stark County, Ohio",2010,0.9,1.4,1.3,1.9
"39153","Summit County, Ohio",2010,1,1,1.1,1.5
"39155","Trumbull County, Ohio",2010,1.2,1.6,1.8,2.4
"39157","Tuscarawas County, Ohio",2010,2.1,1.6,3,3.4
"39165","Warren County, Ohio",2010,1.5,1.2,1.2,1.5
