"county","year","mean","lwr95","upr95"
"Alamance",2016,0.0920718305200947,0.0661475669233802,0.123984801070477
"Alexander",2016,0.135243672039315,0.0941589237479693,0.187827486121585
"Alleghany",2016,0.141034740710714,0.0901767907574194,0.208223889379348
"Anson",2016,0.0813740075780822,0.0542770084020301,0.116765707008681
"Ashe",2016,0.141886978719995,0.0934116669735578,0.20669665645931
"Avery",2016,0.1396055317177,0.0947253524790913,0.193988444960439
"Beaufort",2016,0.138387049009943,0.0923573398402057,0.200181826552159
"Bertie",2016,0.111151317770059,0.0707583530841723,0.165156940307121
"Bladen",2016,0.124870583591543,0.084733992662294,0.178866858808243
"Brunswick",2016,0.130759630424732,0.08272198005504,0.195731275508689
"Buncombe",2016,0.0667014731087764,0.0442330566382794,0.0947426722689537
"Burke",2016,0.082827227427089,0.0585954800904992,0.110757211253685
"Cabarrus",2016,0.083119094446061,0.0609994972881172,0.112509089628918
"Caldwell",2016,0.0892256338171262,0.0636780366998219,0.121614610192815
"Camden",2016,0.115233622413917,0.0620094409451631,0.197209197164871
"Carteret",2016,0.146585363434652,0.0916802141495974,0.217593469333283
"Caswell",2016,0.0976246692825951,0.0644256615720318,0.140361542082249
"Catawba",2016,0.0861847240564585,0.0618643370500328,0.117781925894696
"Chatham",2016,0.107685523335206,0.0770960614329627,0.14648716983859
"Cherokee",2016,0.0938066012324371,0.0516139142807204,0.158613601759564
"Chowan",2016,0.11838821676831,0.0652640467954433,0.198720849174384
"Clay",2016,0.0818717656662447,0.0418362161462942,0.147980322896535
"Cleveland",2016,0.0970315684888668,0.0668850937659182,0.135371486955713
"Columbus",2016,0.132811298242432,0.0887365104690175,0.19240999700598
"Craven",2016,0.105169316192336,0.0687799177752561,0.153881309349437
"Cumberland",2016,0.0794579008242959,0.0567135080564689,0.107423563888884
"Currituck",2016,0.116440470635893,0.0620632998348071,0.201020140383078
"Dare",2016,0.178978028735111,0.103218398212671,0.288632553274685
"Davidson",2016,0.0834260433381823,0.0617695781064621,0.110808899410609
"Davie",2016,0.0905204146123083,0.0641213399685349,0.124589641653816
"Duplin",2016,0.102413686554442,0.0677560044269145,0.151119876746546
"Durham",2016,0.104556930697529,0.0735320319074891,0.144046800494923
"Edgecombe",2016,0.0932997238492885,0.0614625076926823,0.13484913343008
"Forsyth",2016,0.0719590735333401,0.0537282273585392,0.0968925417368589
"Franklin",2016,0.107015586584557,0.0726352280787925,0.152430220206441
"Gaston",2016,0.0911416462992564,0.06420015497309,0.127982501924192
"Gates",2016,0.08643953542054,0.0479726536348034,0.147722185263792
"Graham",2016,0.130505769495211,0.0734673068535455,0.214379654407188
"Granville",2016,0.120071794795488,0.080805026417286,0.173618139214353
"Greene",2016,0.103477955423067,0.0650623275215228,0.157078490876299
"Guilford",2016,0.069431011517433,0.0508075085937806,0.0937888656386483
"Halifax",2016,0.101293101898996,0.067426477484812,0.144833944916868
"Harnett",2016,0.113669311914359,0.0811148065614629,0.155056356203304
