"county","year","mean","lwr95","upr95"
"Alamance",2016,6023.4941,4369.95,8104.05
"Alexander",2016,2450.5488,1702,3406
"Alleghany",2016,407.4252,260,604
"Anson",2016,624.6592,416,894.025
"Ashe",2016,1504.6866,990,2188
"Avery",2016,1225.6441,853,1742.025
"Beaufort",2016,2833.1388,1874,4088.025
"Bertie",2016,741.0584,473,1109
"Bladen",2016,1419.8301,959.975,2023
"Brunswick",2016,7781.001,4939.975,11725
"Buncombe",2016,13891.3346,9392.975,20132.075
"Burke",2016,6068.316,4417.975,8284.05
"Cabarrus",2016,10223.3994,7356.95,13556.05
"Caldwell",2016,4242.4413,3033.95,5723.025
"Camden",2016,436.0416,232,747
"Carteret",2016,4309.5305,2759.975,6563.1
"Caswell",2016,803.234,534,1156.025
"Catawba",2016,9669.4629,6908.95,13083
"Chatham",2016,1888.6743,1358,2566
"Cherokee",2016,2052.3951,1122,3433
"Chowan",2016,438.5395,237,732
"Clay",2016,634.0351,317,1124
"Cleveland",2016,4393.6498,3038,6151.025
"Columbus",2016,3422.5062,2283.925,4913
"Craven",2016,5604.6425,3671.975,8175.1
"Cumberland",2016,11661.225,8447.925,15899.025
"Currituck",2016,1145.1371,608.975,1953
"Dare",2016,2326.6086,1355.975,3782
"Davidson",2016,8875.4697,6515.975,11679.075
"Davie",2016,1890.9061,1325,2581
"Duplin",2016,1516.3883,981.975,2211.025
"Durham",2016,9434.7642,6626.95,12951.075
"Edgecombe",2016,1596.2836,1061,2331.05
"Forsyth",2016,14841.9688,10822,19367.075
"Franklin",2016,2239.1262,1515.975,3190.075
"Gaston",2016,15196.0503,10478.925,20878
"Gates",2016,417.2829,227,690
"Graham",2016,551.1354,307,911.025
"Granville",2016,2467.7985,1651.95,3518.15
"Greene",2016,650.9913,409,992
"Guilford",2016,17702.481,12747,23556.1
"Halifax",2016,2010.0057,1360,2896.025
"Harnett",2016,4841.7769,3449,6586.025
"Haywood",2016,5220.7203,3407.95,7781.025
"Henderson",2016,4952.2846,3273.925,7317.025
"Hertford",2016,920.5518,549,1455
"Hoke",2016,1384.7604,942,1956
"Hyde",2016,255.2167,149,408
"Iredell",2016,8791.4605,6601.975,11568
"Jackson",2016,2747.0946,1665.975,4300.125
"Johnston",2016,6130.731,4199.95,8611.125
"Jones",2016,478.2911,302,721
"Lee",2016,3359.763,2330,4771.025
"Lenoir",2016,2402.3922,1574.975,3469.025
"Lincoln",2016,4487.3925,3251.975,6076.05
"Macon",2016,1684.4789,1155,2441
"Madison",2016,770.7466,429,1257
"Martin",2016,1340.1916,836,2058.025
"McDowell",2016,1982.8145,1333.975,2868
"Mecklenburg",2016,27988.9291,20258.85,38379.2
"Mitchell",2016,1273.3085,844,1915
"Montgomery",2016,1311.5232,944.975,1787.025
"Moore",2016,4498.7558,3355.975,6003.025
"Nash",2016,3126.8062,2108,4390.05
"New Hanover",2016,13679.0327,8220.95,22207.025
"Northampton",2016,574.419,357,869.025
"Onslow",2016,7596.8177,4854.95,11201.05
"Orange",2016,4220.3667,2979.95,5906
"Pamlico",2016,719.6046,425.975,1155
"Pasquotank",2016,1704.2696,935.95,2827.025
"Pender",2016,2773.3359,1880.975,3994
"Perquimans",2016,475.8929,252,807
"Person",2016,2234.4639,1536,3162.025
"Pitt",2016,6784.1321,4658.95,9623
"Polk",2016,1104.507,672.975,1740.05
"Randolph",2016,7454.407,5521.975,9935.025
"Richmond",2016,2408.2287,1759,3242
"Robeson",2016,5397.7457,3777,7526.075
"Rockingham",2016,4401.9467,3060,6010.025
"Rowan",2016,9084.1556,6637.925,11974
"Rutherford",2016,3246.6989,2220,4645.025
"Sampson",2016,1748.2042,1190.975,2467.05
"Scotland",2016,1257.7651,859.975,1789.025
"Stanly",2016,3137.7827,2302,4176
"Stokes",2016,2401.9889,1639,3349
"Surry",2016,4087.5713,2902.975,5572
"Swain",2016,1417.3704,874.975,2208.05
"Transylvania",2016,2254.0121,1452,3432
"Tyrrell",2016,165.7618,88,284
"Union",2016,6273.7491,4456.975,8571.125
"Vance",2016,2669.9756,1727,3934.05
"Wake",2016,25269.1181,17932.9,34426.025
"Warren",2016,520.8542,328,781
"Washington",2016,384.1112,241,582
"Watauga",2016,1671.7263,1118,2378
"Wayne",2016,4309.9106,2924.95,6248.05
"Wilkes",2016,5032.0877,3694,6648.025
"Wilson",2016,2612.375,1751.975,3746
"Yadkin",2016,2040.3639,1437,2801
"Yancey",2016,1185.4003,780,1761.05
"Alamance",2017,5595.1444,3870.9,8137
"Alexander",2017,2204.3537,1405,3298.175
"Alleghany",2017,374.7751,211,632
"Anson",2017,509.5992,310,778
"Ashe",2017,1221.4934,719.975,1984
"Avery",2017,748.4577,483,1111.025
"Beaufort",2017,2297.6203,1470.975,3446.05
"Bertie",2017,534.5773,322,847.025
"Bladen",2017,1162.1193,748.975,1724
"Brunswick",2017,6295.1945,3741,10209.05
"Buncombe",2017,16448.845,10113.975,24185.15
"Burke",2017,5561.0024,3754.95,7795
"Cabarrus",2017,10648.682,7279.975,15085.225
"Caldwell",2017,4152.3357,2725,6092
"Camden",2017,249.5075,117,471
"Carteret",2017,3287.0332,1954.975,5227.25
"Caswell",2017,784.6613,492,1219.025
"Catawba",2017,8615.1826,5708,12546.075
"Chatham",2017,1654.5009,1144,2344.025
"Cherokee",2017,1672.9078,766.975,3232.025
"Chowan",2017,400.8443,192,756
"Clay",2017,381.6475,162,777
"Cleveland",2017,3917.0313,2519.875,5820.05
"Columbus",2017,2758.6451,1755.975,4189.05
"Craven",2017,4689.3033,2951.975,6988.05
"Cumberland",2017,9965.8178,6783.975,14166.1
"Currituck",2017,789.6584,363,1550.025
"Dare",2017,1778.5583,914.975,3230.025
"Davidson",2017,8079.3681,5627.975,11294.075
"Davie",2017,1656.695,1072,2416.05
"Duplin",2017,1132.8595,702.975,1717
"Durham",2017,8329.7554,5678.975,12111.125
"Edgecombe",2017,1234.1243,785,1880
"Forsyth",2017,14132.7582,9742.825,20217.225
"Franklin",2017,1878.674,1252,2817
"Gaston",2017,13084.2156,8322.925,20104.1
"Gates",2017,337.0109,163,624
"Graham",2017,581.872,274,1109
"Granville",2017,1923.9576,1252,2924.225
"Greene",2017,529.8448,319,832
"Guilford",2017,15727.8393,10666,22826.025
"Halifax",2017,1573.8737,1019,2363
"Harnett",2017,4268.7551,2936.9,6025
"Haywood",2017,4965.177,2876.975,7697.025
"Henderson",2017,4951.1687,2881,7755.2
"Hertford",2017,633.6212,343,1078.025
"Hoke",2017,1081.5773,714,1609.025
"Hyde",2017,218.8211,119,371
"Iredell",2017,8108.1688,5684.825,11281.05
"Jackson",2017,2688.3828,1432,4589.075
"Johnston",2017,4946.0152,3357,7092
"Jones",2017,386.8959,234,603.025
"Lee",2017,2961.3011,1904,4437.175
"Lenoir",2017,1905.1674,1212.975,2882
"Lincoln",2017,3927.7348,2621,5623.075
"Macon",2017,1680.3815,1026,2533.05
"Madison",2017,1070.3695,518.975,1943
"Martin",2017,1252.9192,688,2033.075
"McDowell",2017,1753.8642,1139,2609.05
"Mecklenburg",2017,26342.3437,17290.825,39288.075
"Mitchell",2017,1128.4124,663,1823
"Montgomery",2017,1202.4905,819,1701.025
"Moore",2017,3439.6179,2506.975,4732
"Nash",2017,2189.3629,1438,3238.05
"New Hanover",2017,10866.7263,6065,18222.025
"Northampton",2017,441.345,257,712.025
"Onslow",2017,5647.8589,3429.925,8900.025
"Orange",2017,3536.099,2344,5261.025
"Pamlico",2017,708.2385,390,1212.025
"Pasquotank",2017,1159.7995,551,2171.05
"Pender",2017,2381.5359,1541.975,3487
"Perquimans",2017,345.7388,162,673
"Person",2017,1816.8292,1197,2701.125
"Pitt",2017,5752.5652,3856.95,8242.1
"Polk",2017,765.0553,408,1353.025
"Randolph",2017,6678.457,4661.975,9251.1
"Richmond",2017,2076.5008,1433,2893.05
"Robeson",2017,4546.8349,3099.95,6579.175
"Rockingham",2017,3942.9134,2653.95,5736.075
"Rowan",2017,8913.224,5964.975,12478.1
"Rutherford",2017,3022.1843,1903.975,4515.175
"Sampson",2017,1381.23,919.975,2006
"Scotland",2017,980.5748,637.975,1467
"Stanly",2017,3026.8615,2076,4188.175
"Stokes",2017,2216.6754,1405.975,3302.05
"Surry",2017,3901.0022,2510.95,5833
"Swain",2017,1233.7222,648,2181.05
"Transylvania",2017,2009.4558,1162.95,3209
"Tyrrell",2017,105.9973,50,196
"Union",2017,5916.9894,3775.975,8776.125
"Vance",2017,2234.1865,1341.95,3562
"Wake",2017,19809.7629,13764.9,28243
"Warren",2017,444.0041,267.975,702
"Washington",2017,335.4118,196,538
"Watauga",2017,1386.5216,826,2183
"Wayne",2017,3254.2231,2154.975,4773
"Wilkes",2017,4552.0094,3052.975,6590
"Wilson",2017,1965.9654,1290,2913.125
"Yadkin",2017,1944.1221,1268,2859.025
"Yancey",2017,1151.8052,671.975,1820.025
"Alamance",2018,4903.191,3288,7153.075
"Alexander",2018,1605.0707,1048,2397.025
"Alleghany",2018,254.9007,147,420.025
"Anson",2018,490.9468,305,751
"Ashe",2018,923.3106,553,1457.05
"Avery",2018,675.8221,435,1023
"Beaufort",2018,2553.1106,1710,3650.025
"Bertie",2018,497.1278,307.975,777
"Bladen",2018,1291.5933,878,1854.025
"Brunswick",2018,5500.6335,3402.925,8616.05
"Buncombe",2018,9759.0795,5918.85,14455.225
"Burke",2018,3997.9803,2652.925,5826.025
"Cabarrus",2018,7164.4108,4613.875,10435.175
"Caldwell",2018,3000.0908,1985.975,4427.125
"Camden",2018,278.9912,136,544
"Carteret",2018,3228.8974,1989.95,4936.05
"Caswell",2018,650.2112,407,1009.025
"Catawba",2018,5743.9301,3756.9,8520.175
"Chatham",2018,1549.265,1096,2167.05
"Cherokee",2018,930.2416,478.975,1649
"Chowan",2018,339.6461,167,635.025
"Clay",2018,191.1133,96,358
"Cleveland",2018,2671.9862,1671.975,4070.05
"Columbus",2018,2481.5815,1679.975,3577
"Craven",2018,4255.8491,2764,6237.075
"Cumberland",2018,10007.1708,7016.975,14059.3
"Currituck",2018,712.9906,339,1461.05
"Dare",2018,1753.9664,959.975,3279.025
"Davidson",2018,6227.3505,4270,8815.025
"Davie",2018,1262.2823,813.975,1837
"Duplin",2018,1006.8795,655,1472.025
"Durham",2018,7676.5844,5286.95,10810.225
"Edgecombe",2018,1311.218,850,2005.075
"Forsyth",2018,11134.0536,7375.95,16202.275
"Franklin",2018,2137.2648,1466.975,2999
"Gaston",2018,8388.5083,5260.975,12836.05
"Gates",2018,300.7491,151,567
"Graham",2018,335.7782,179,593
"Granville",2018,1719.0627,1160,2496
